TIPOVOL;GRED;ISBN;CODVOL;TITOLO;ANNO;PREZZO;PESO;PAGINE
0-Scolastico;03D;9788808645111;64511;SPIAZZI*SHAPING ID COMPACT LL   LDM ;21;30.41;0;576
0-Scolastico;03N;9788808206022;20602;"STEFANI""TADDEI*PERC BIOCHIMICA LMS  ";12;19.70;500;232
0-Scolastico;03L;9788808355843;35584;STOPPIONI*GESTIONE AMB TERRIT    LD ;14;16.50;460;200
0-Scolastico;03N;9788808266170;26617;TADDEI*BIOCHIMICA                LD ;14;14.30;350;160
0-Scolastico;03N;9788808088130;08813;TAGLIAFERRI*BIOTECNOL E CHIMICA LM  ;02;53.50;830;512
0-Scolastico;03K;9788808235572;23557;TASSI*SAPERI EDUCAZ.2E DA TARDO LDM ;15;21.30;800;368
0-Scolastico;03K;9788808236579;23657;TASSI*SAPERI EDUCAZ.2E NOVECENT LDM ;15;17.90;760;352
0-Scolastico;03T;9788808914675;91467;TIBONE*PROGETT PROGRAM 2 JAVA   LDM ;20;22.90;890;360
0-Scolastico;03T;9788808709110;70911;TIBONE*PROGETT PROGRAM 2 PYTHON LDM ;20;22.90;880;360
0-Scolastico;03T;9788808424921;42492;TIBONE*PROGETT PROGRAMM 2       LDM ;19;22.90;880;360
0-Scolastico;03T;9788808816474;81647;TIBONE*PROGETT PROGRAMM 3       LDM ;19;14.90;540;216
0-Scolastico;03L;9788808421241;42124;TING*NATURAL SCIENCE CLIL LM        ;15;9.60;250;104
0-Scolastico;03P;9788808488862;48886;TORTORA*COMP.IG.CULT. 2E 5 (CL  LDM ;20;23.20;740;320
0-Scolastico;03P;9788808520630;52063;TORTORA*COMP.IG.CULT.2E 3/4 (CL LDM ;18;40.40;1070;576
0-Scolastico;03P;9788808320537;32053;TORTORA*CON.CORPO UMANO 2ED AZZ LDM ;20;35.00;890;448
0-Scolastico;03P;9788808322869;32286;TORTORA*CON.CORPO UMANO U AZZ   LDM ;13;34.80;940;432
0-Scolastico;03P;9788808068491;06849;TORTORA*CONOSCIAMO CORPO UMANO LM   ;09;38.80;1070;496
0-Scolastico;03P;9788808834911;83491;TORTORA*IG ANAT FIS 5 ANNO LMS (CLT ;14;21.00;630;272
0-Scolastico;03P;9788808194756;19475;TORTORA*IGIENE ANAT FISIOP LMS (CLT ;12;38.30;980;528
0-Scolastico;03Q;9788808313966;31396;"TRIFONE""BERG#MAT.AZZURRO 3       LD ";12;26.20;1040;592
0-Scolastico;03Q;9788808115218;11521;"TRIFONE""BERG#MAT.AZZURRO 4       LD ";12;26.00;1000;576
0-Scolastico;03Q;9788808115232;11523;"TRIFONE""BERG#MAT.AZZURRO 5       LD ";12;26.00;1000;568
0-Scolastico;03Q;9788808115256;11525;"TRIFONE""BERG#MAT.AZZURRO L       LD ";12;10.50;280;152
0-Scolastico;03Q;9788808115270;11527;"TRIFONE""BERG#MAT.AZZURRO L+BETA  LD ";12;16.30;510;288
0-Scolastico;03Q;9788808115355;11535;"TRIFONE""BERG#MAT.AZZURRO N+O LM     ";12;20.30;630;360
0-Scolastico;03Q;9788808115430;11543;"TRIFONE""BERG#MAT.AZZURRO S LM       ";12;13.70;390;216
0-Scolastico;03Q;9788808115492;11549;"TRIFONE""BERG#MAT.AZZURRO U+V+W LM   ";12;25.70;840;480
0-Scolastico;03Q;9788808214430;21443;"TRIFONE""BERG*MAT.BIANCO 3        LD ";12;23.40;910;504
0-Scolastico;03Q;9788808331106;33110;"TRIFONE""BERG*MAT.BIANCO 3       LDM ";12;28.00;910;504
0-Scolastico;03Q;9788808500533;50053;"TRIFONE""BERG*MAT.BIANCO 3S       LD ";13;16.20;570;320
0-Scolastico;03Q;9788808200044;20004;"TRIFONE""BERG*MAT.BIANCO 4       LDM ";13;27.60;830;544
0-Scolastico;03Q;9788808800039;80003;"TRIFONE""BERG*MAT.BIANCO 4 LD        ";13;24.60;830;544
0-Scolastico;03Q;9788808600530;60053;"TRIFONE""BERG*MAT.BIANCO 4S       LD ";13;21.10;790;448
0-Scolastico;03Q;9788808800046;80004;"TRIFONE""BERG*MAT.BIANCO 5       LDM ";13;20.20;580;376
0-Scolastico;03Q;9788808600042;60004;"TRIFONE""BERG*MAT.BIANCO 5 LD        ";13;17.90;580;376
0-Scolastico;03Q;9788808700537;70053;"TRIFONE""BERG*MAT.BIANCO N        LD ";13;7.90;230;120
0-Scolastico;03Q;9788808600967;60096;"TRIFONE""BERG*MAT.BIANCO N       LDM ";14;8.70;220;120
0-Scolastico;03Q;9788808500540;50054;"TRIFONE""BERG*MAT.BIANCO W        LD ";13;8.00;210;128
0-Scolastico;03Q;9788808432162;43216;"TRIFONE""BERG*MAT.ROSSO L         LD ";12;11.40;250;136
